state,action,,,,,,,,,,,,,,,,,,,,,,,,,,goto,,,,,,,,,,,,,,
,.,let,id,be,int,set,U,+,-,I,*,num,(,),{,},:,|,&,!,<,>,=,@,show,$,S',S,D',D,T,E,E',E'',Z,P,P',P'',R,C,A
55,r14,,,,,,r14,r14,r14,r14,r14,,,r14,,r14,,r14,r14,,r14,r14,r14,r14,,,,,,,,,,,,,,,,,
56,r22,,,,,,,,,,,,,r22,,r22,,r22,r22,,,,,,,,,,,,,,,,,,,,,,
57,r17,,,,,,r17,r17,r17,r17,r17,,,r17,,r17,,r17,r17,,r17,r17,r17,r17,,,,,,,,,,,,,,,,,
58,r25,,,,,,,,,,,,,r25,,r25,,r25,r25,,,,,,,,,,,,,,,,,,,,,,
59,,,,,,,,,,,,,,,,s63,,s34,,,,,,,,,,,,,,,,,,,,,,,
60,,,r19,,,,,,,,,r19,r19,,r19,,,,,r19,,,,,,,,,,,,,,,,,,,,,
61,,,,,,,s27,s28,s29,,,,,s57,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,,,s18,,,,,,,,,s17,s44,,s20,,,,,,,,,,,,,,,,,64,13,15,,,,,,,
63,r18,,,,,,r18,r18,r18,r18,r18,,,r18,,r18,,r18,r18,,r18,r18,r18,r18,,,,,,,,,,,,,,,,,
64,s65,,,,,,s27,s28,s29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,,r5,,,,,,,,,,,,,,,,,,,,,,,r5,,,,,,,,,,,,,,,,
